order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_amount,line_total,line_profit
ITEM-0000040,ORD-000022,PROD-0005,3,1276.32,751.98,0.0,3828.96,1573.02
ITEM-0000041,ORD-000023,PROD-0142,1,91.44,61.76,4.57,86.87,25.11
ITEM-0000042,ORD-000023,PROD-0143,1,147.1,55.66,7.36,139.74,84.08
ITEM-0000043,ORD-000023,PROD-0093,2,665.7,288.19,33.28,1264.84,688.46
ITEM-0000044,ORD-000024,PROD-0171,3,222.3,111.96,11.12,633.54,297.66
ITEM-0000045,ORD-000025,PROD-0015,3,133.28,49.86,0.0,399.84,250.26
ITEM-0000046,ORD-000025,PROD-0134,3,141.65,91.72,0.0,424.95,149.79
ITEM-0000047,ORD-000026,PROD-0084,2,557.57,307.67,55.76,1003.62,388.28
ITEM-0000048,ORD-000026,PROD-0066,1,417.62,172.83,41.76,375.86,203.03
ITEM-0000049,ORD-000027,PROD-0040,3,87.09,32.87,0.0,261.27,162.66
ITEM-0000050,ORD-000028,PROD-0071,1,632.43,267.0,0.0,632.43,365.43
ITEM-0000051,ORD-000029,PROD-0011,2,908.06,554.12,0.0,1816.12,707.88
ITEM-0000052,ORD-000030,PROD-0031,1,55.69,23.22,0.0,55.69,32.47
ITEM-0000053,ORD-000031,PROD-0038,3,78.94,29.22,0.0,236.82,149.16
ITEM-0000054,ORD-000032,PROD-0199,2,500.93,242.75,0.0,1001.86,516.36
ITEM-0000055,ORD-000032,PROD-0130,2,61.86,25.24,0.0,123.72,73.24
ITEM-0000056,ORD-000033,PROD-0045,3,43.56,23.26,0.0,130.68,60.9
ITEM-0000057,ORD-000034,PROD-0124,3,8.45,5.48,0.0,25.35,8.91
ITEM-0000058,ORD-000034,PROD-0050,2,115.4,78.39,0.0,230.8,74.02
ITEM-0000059,ORD-000034,PROD-0023,3,362.29,143.59,0.0,1086.87,656.1
ITEM-0000060,ORD-000035,PROD-0095,3,210.91,137.71,21.09,569.46,156.33
ITEM-0000061,ORD-000036,PROD-0075,3,99.97,52.21,5.0,284.91,128.28
ITEM-0000062,ORD-000036,PROD-0039,1,254.69,97.21,12.73,241.96,144.75
ITEM-0000063,ORD-000037,PROD-0023,2,362.29,143.59,0.0,724.58,437.4
ITEM-0000064,ORD-000038,PROD-0034,3,31.1,21.54,0.0,93.3,28.68
ITEM-0000065,ORD-000039,PROD-0092,2,696.36,329.11,34.82,1323.08,664.86
ITEM-0000066,ORD-000040,PROD-0132,2,176.9,94.24,0.0,353.8,165.32
ITEM-0000067,ORD-000041,PROD-0137,3,166.68,109.1,8.33,475.05,147.75
ITEM-0000068,ORD-000042,PROD-0120,3,60.87,22.41,0.0,182.61,115.38
ITEM-0000069,ORD-000042,PROD-0014,1,639.1,406.85,0.0,639.1,232.25
ITEM-0000070,ORD-000042,PROD-0104,1,24.34,12.08,0.0,24.34,12.26
ITEM-0000071,ORD-000042,PROD-0083,3,430.7,156.43,0.0,1292.1,822.81
ITEM-0000072,ORD-000043,PROD-0119,1,12.67,5.51,1.27,11.4,5.89
ITEM-0000073,ORD-000044,PROD-0014,1,639.1,406.85,0.0,639.1,232.25
ITEM-0000074,ORD-000045,PROD-0047,3,161.1,58.36,0.0,483.3,308.22
ITEM-0000075,ORD-000046,PROD-0173,2,178.09,70.26,8.9,338.38,197.86
ITEM-0000076,ORD-000046,PROD-0067,2,1063.26,426.7,53.16,2020.2,1166.8
ITEM-0000077,ORD-000046,PROD-0069,2,415.71,294.23,20.79,789.84,201.38
ITEM-0000078,ORD-000046,PROD-0186,2,178.64,112.52,8.93,339.42,114.38
ITEM-0000079,ORD-000047,PROD-0094,3,760.2,287.3,0.0,2280.6,1418.7
ITEM-0000080,ORD-000048,PROD-0039,2,254.69,97.21,0.0,509.38,314.96
ITEM-0000081,ORD-000048,PROD-0015,1,133.28,49.86,0.0,133.28,83.42
ITEM-0000082,ORD-000049,PROD-0150,3,176.47,91.59,0.0,529.41,254.64
ITEM-0000083,ORD-000049,PROD-0136,1,209.97,107.96,0.0,209.97,102.01
ITEM-0000084,ORD-000050,PROD-0032,3,215.26,86.82,0.0,645.78,385.32
ITEM-0000085,ORD-000051,PROD-0076,1,250.97,90.86,0.0,250.97,160.11
ITEM-0000086,ORD-000051,PROD-0133,2,207.44,103.69,0.0,414.88,207.5
ITEM-0000087,ORD-000051,PROD-0030,3,258.42,97.81,0.0,775.26,481.83
ITEM-0000088,ORD-000052,PROD-0142,2,91.44,61.76,9.14,164.6,41.08
ITEM-0000089,ORD-000053,PROD-0096,2,34.47,16.8,0.0,68.94,35.34
ITEM-0000090,ORD-000053,PROD-0076,1,250.97,90.86,0.0,250.97,160.11
ITEM-0000091,ORD-000053,PROD-0138,1,312.0,114.25,0.0,312.0,197.75
ITEM-0000092,ORD-000053,PROD-0013,3,441.97,287.6,0.0,1325.91,463.11
ITEM-0000093,ORD-000054,PROD-0167,2,487.98,175.49,48.8,878.36,527.38
ITEM-0000094,ORD-000055,PROD-0094,3,760.2,287.3,0.0,2280.6,1418.7
ITEM-0000095,ORD-000055,PROD-0176,2,256.96,129.73,0.0,513.92,254.46
ITEM-0000096,ORD-000056,PROD-0003,1,184.71,70.7,18.47,166.24,95.54
ITEM-0000097,ORD-000057,PROD-0013,3,441.97,287.6,0.0,1325.91,463.11
ITEM-0000098,ORD-000058,PROD-0184,3,446.69,209.89,0.0,1340.07,710.4
ITEM-0000099,ORD-000059,PROD-0159,1,270.31,96.88,40.55,229.76,132.88
ITEM-0000100,ORD-000060,PROD-0133,3,207.44,103.69,20.74,560.1,249.03
ITEM-0000101,ORD-000060,PROD-0087,3,317.87,206.94,31.79,858.24,237.42
ITEM-0000102,ORD-000060,PROD-0024,3,2202.91,887.86,220.29,5947.86,3284.28
ITEM-0000103,ORD-000061,PROD-0111,1,36.62,14.88,1.83,34.79,19.91
ITEM-0000104,ORD-000062,PROD-0129,1,225.93,89.48,11.3,214.63,125.15
ITEM-0000105,ORD-000062,PROD-0096,3,34.47,16.8,1.72,98.25,47.85
ITEM-0000106,ORD-000062,PROD-0004,3,918.1,642.56,45.91,2616.57,688.89
ITEM-0000107,ORD-000062,PROD-0082,1,193.03,135.78,9.65,183.38,47.6
ITEM-0000108,ORD-000063,PROD-0036,2,82.73,41.9,0.0,165.46,81.66
ITEM-0000109,ORD-000063,PROD-0198,3,289.88,175.19,0.0,869.64,344.07
ITEM-0000110,ORD-000063,PROD-0147,3,130.44,86.16,0.0,391.32,132.84
ITEM-0000111,ORD-000064,PROD-0063,3,857.26,393.73,0.0,2571.78,1390.59
ITEM-0000112,ORD-000065,PROD-0086,3,548.14,202.22,27.41,1562.19,955.53
ITEM-0000113,ORD-000065,PROD-0066,2,417.62,172.83,20.88,793.48,447.82
ITEM-0000114,ORD-000065,PROD-0032,1,215.26,86.82,10.76,204.5,117.68
ITEM-0000115,ORD-000066,PROD-0006,1,330.42,180.96,0.0,330.42,149.46
ITEM-0000116,ORD-000067,PROD-0117,3,35.26,15.49,0.0,105.78,59.31
ITEM-0000117,ORD-000068,PROD-0058,3,33.51,15.83,0.0,100.53,53.04
ITEM-0000118,ORD-000068,PROD-0115,2,17.83,8.88,0.0,35.66,17.9
ITEM-0000119,ORD-000069,PROD-0039,2,254.69,97.21,0.0,509.38,314.96
ITEM-0000120,ORD-000070,PROD-0014,2,639.1,406.85,0.0,1278.2,464.5
ITEM-0000121,ORD-000071,PROD-0136,2,209.97,107.96,21.0,377.94,162.02
ITEM-0000122,ORD-000071,PROD-0131,2,235.16,118.91,23.52,423.28,185.46
ITEM-0000123,ORD-000071,PROD-0033,2,162.42,81.27,16.24,292.36,129.82
ITEM-0000124,ORD-000072,PROD-0047,3,161.1,58.36,0.0,483.3,308.22
ITEM-0000125,ORD-000073,PROD-0092,1,696.36,329.11,0.0,696.36,367.25
ITEM-0000126,ORD-000074,PROD-0115,1,17.83,8.88,0.0,17.83,8.95
ITEM-0000127,ORD-000074,PROD-0068,1,77.59,47.71,0.0,77.59,29.88
ITEM-0000128,ORD-000075,PROD-0100,2,183.65,80.83,27.55,312.2,150.54
ITEM-0000129,ORD-000075,PROD-0081,3,926.79,338.8,139.02,2363.31,1346.91
ITEM-0000130,ORD-000076,PROD-0165,1,87.86,52.82,0.0,87.86,35.04
ITEM-0000131,ORD-000077,PROD-0072,3,272.93,113.86,27.29,736.92,395.34
ITEM-0000132,ORD-000078,PROD-0164,2,327.47,160.69,0.0,654.94,333.56
ITEM-0000133,ORD-000078,PROD-0065,3,989.99,433.0,0.0,2969.97,1670.97
ITEM-0000134,ORD-000079,PROD-0135,3,161.12,63.01,0.0,483.36,294.33
ITEM-0000135,ORD-000079,PROD-0011,2,908.06,554.12,0.0,1816.12,707.88
ITEM-0000136,ORD-000079,PROD-0111,3,36.62,14.88,0.0,109.86,65.22
ITEM-0000137,ORD-000080,PROD-0051,1,757.84,436.7,0.0,757.84,321.14
ITEM-0000138,ORD-000081,PROD-0168,3,180.31,98.35,0.0,540.93,245.88
ITEM-0000139,ORD-000081,PROD-0068,3,77.59,47.71,0.0,232.77,89.64
ITEM-0000140,ORD-000081,PROD-0076,2,250.97,90.86,0.0,501.94,320.22
ITEM-0000141,ORD-000082,PROD-0191,3,353.82,141.69,0.0,1061.46,636.39
ITEM-0000142,ORD-000082,PROD-0102,1,58.26,24.11,0.0,58.26,34.15
ITEM-0000143,ORD-000082,PROD-0132,3,176.9,94.24,0.0,530.7,247.98
ITEM-0000144,ORD-000083,PROD-0011,2,908.06,554.12,45.4,1725.32,617.08
ITEM-0000145,ORD-000083,PROD-0042,2,37.56,21.85,1.88,71.36,27.66
ITEM-0000146,ORD-000084,PROD-0061,1,263.42,168.98,0.0,263.42,94.44
ITEM-0000147,ORD-000084,PROD-0075,3,99.97,52.21,0.0,299.91,143.28
ITEM-0000148,ORD-000084,PROD-0007,1,722.42,399.63,0.0,722.42,322.79
ITEM-0000149,ORD-000085,PROD-0126,1,107.32,41.55,0.0,107.32,65.77
ITEM-0000150,ORD-000086,PROD-0006,1,330.42,180.96,0.0,330.42,149.46
ITEM-0000151,ORD-000086,PROD-0047,1,161.1,58.36,0.0,161.1,102.74
ITEM-0000152,ORD-000087,PROD-0106,3,51.35,26.03,2.57,146.34,68.25
ITEM-0000153,ORD-000088,PROD-0166,1,146.75,66.19,0.0,146.75,80.56
ITEM-0000154,ORD-000088,PROD-0113,3,74.56,31.26,0.0,223.68,129.9
ITEM-0000155,ORD-000088,PROD-0185,2,331.51,151.7,0.0,663.02,359.62
ITEM-0000156,ORD-000089,PROD-0035,1,108.28,51.27,0.0,108.28,57.01
ITEM-0000157,ORD-000089,PROD-0195,2,253.09,136.05,0.0,506.18,234.08
ITEM-0000158,ORD-000090,PROD-0169,3,202.66,124.51,0.0,607.98,234.45
ITEM-0000159,ORD-000091,PROD-0110,2,46.23,23.26,0.0,92.46,45.94
ITEM-0000160,ORD-000092,PROD-0011,3,908.06,554.12,0.0,2724.18,1061.82
ITEM-0000161,ORD-000092,PROD-0028,3,178.41,95.75,0.0,535.23,247.98
ITEM-0000162,ORD-000092,PROD-0129,3,225.93,89.48,0.0,677.79,409.35
ITEM-0000163,ORD-000093,PROD-0137,2,166.68,109.1,16.67,300.02,81.82
ITEM-0000164,ORD-000094,PROD-0195,2,253.09,136.05,0.0,506.18,234.08
ITEM-0000165,ORD-000095,PROD-0003,2,184.71,70.7,9.24,350.94,209.54
ITEM-0000166,ORD-000096,PROD-0061,1,263.42,168.98,13.17,250.25,81.27
ITEM-0000167,ORD-000097,PROD-0135,3,161.12,63.01,0.0,483.36,294.33
ITEM-0000168,ORD-000098,PROD-0030,3,258.42,97.81,0.0,775.26,481.83
ITEM-0000169,ORD-000098,PROD-0075,2,99.97,52.21,0.0,199.94,95.52
ITEM-0000170,ORD-000098,PROD-0081,1,926.79,338.8,0.0,926.79,587.99
ITEM-0000171,ORD-000099,PROD-0159,3,270.31,96.88,0.0,810.93,520.29
ITEM-0000172,ORD-000100,PROD-0004,3,918.1,642.56,137.72,2341.14,413.46
ITEM-0000173,ORD-000100,PROD-0155,3,299.92,135.3,44.99,764.79,358.89
ITEM-0000174,ORD-000100,PROD-0127,2,177.0,98.63,26.55,300.9,103.64
ITEM-0000175,ORD-000101,PROD-0004,1,918.1,642.56,45.91,872.19,229.63
ITEM-0000176,ORD-000102,PROD-0118,1,72.66,31.29,0.0,72.66,41.37
ITEM-0000177,ORD-000103,PROD-0162,2,253.85,114.45,12.69,482.32,253.42
ITEM-0000178,ORD-000104,PROD-0135,1,161.12,63.01,0.0,161.12,98.11
ITEM-0000179,ORD-000104,PROD-0037,2,58.73,38.95,0.0,117.46,39.56
ITEM-0000180,ORD-000105,PROD-0075,2,99.97,52.21,0.0,199.94,95.52
ITEM-0000181,ORD-000106,PROD-0192,2,443.84,170.23,0.0,887.68,547.22
ITEM-0000182,ORD-000107,PROD-0142,2,91.44,61.76,0.0,182.88,59.36
ITEM-0000183,ORD-000108,PROD-0178,2,754.53,269.93,0.0,1509.06,969.2
ITEM-0000184,ORD-000109,PROD-0021,1,643.54,361.56,0.0,643.54,281.98
ITEM-0000185,ORD-000110,PROD-0076,3,250.97,90.86,0.0,752.91,480.33
ITEM-0000186,ORD-000111,PROD-0147,2,130.44,86.16,6.52,247.84,75.52
ITEM-0000187,ORD-000112,PROD-0075,1,99.97,52.21,0.0,99.97,47.76
ITEM-0000188,ORD-000112,PROD-0073,1,395.1,161.59,0.0,395.1,233.51
ITEM-0000189,ORD-000113,PROD-0025,3,62.17,24.46,0.0,186.51,113.13
ITEM-0000190,ORD-000113,PROD-0019,3,1468.09,545.63,0.0,4404.27,2767.38
ITEM-0000191,ORD-000113,PROD-0031,3,55.69,23.22,0.0,167.07,97.41
ITEM-0000192,ORD-000114,PROD-0102,2,58.26,24.11,0.0,116.52,68.3
ITEM-0000193,ORD-000114,PROD-0193,2,120.92,44.83,0.0,241.84,152.18
ITEM-0000194,ORD-000114,PROD-0181,3,579.86,257.87,0.0,1739.58,965.97
ITEM-0000195,ORD-000115,PROD-0068,3,77.59,47.71,3.88,221.13,78.0
ITEM-0000196,ORD-000115,PROD-0145,3,117.19,76.02,5.86,333.99,105.93
ITEM-0000197,ORD-000115,PROD-0197,1,64.18,39.8,3.21,60.97,21.17
ITEM-0000198,ORD-000116,PROD-0106,1,51.35,26.03,0.0,51.35,25.32
ITEM-0000199,ORD-000117,PROD-0065,3,989.99,433.0,49.5,2821.47,1522.47
ITEM-0000200,ORD-000117,PROD-0161,2,272.47,114.77,13.62,517.7,288.16
ITEM-0000201,ORD-000117,PROD-0152,1,254.38,163.52,12.72,241.66,78.14
ITEM-0000202,ORD-000117,PROD-0072,2,272.93,113.86,13.65,518.56,290.84
ITEM-0000203,ORD-000118,PROD-0168,2,180.31,98.35,9.02,342.58,145.88
ITEM-0000204,ORD-000118,PROD-0140,3,99.89,42.66,4.99,284.7,156.72
ITEM-0000205,ORD-000118,PROD-0149,3,268.33,98.43,13.42,764.73,469.44
ITEM-0000206,ORD-000119,PROD-0172,1,228.9,156.43,0.0,228.9,72.47
ITEM-0000207,ORD-000119,PROD-0121,3,36.65,15.93,0.0,109.95,62.16
ITEM-0000208,ORD-000119,PROD-0011,2,908.06,554.12,0.0,1816.12,707.88
ITEM-0000209,ORD-000120,PROD-0154,1,38.97,24.91,1.95,37.02,12.11
ITEM-0000210,ORD-000121,PROD-0107,3,14.58,8.33,2.19,37.17,12.18
ITEM-0000211,ORD-000121,PROD-0184,1,446.69,209.89,67.0,379.69,169.8
ITEM-0000212,ORD-000122,PROD-0078,1,403.87,182.94,0.0,403.87,220.93
ITEM-0000213,ORD-000122,PROD-0148,1,227.91,118.46,0.0,227.91,109.45
ITEM-0000214,ORD-000123,PROD-0098,1,44.14,17.3,0.0,44.14,26.84
ITEM-0000215,ORD-000123,PROD-0083,1,430.7,156.43,0.0,430.7,274.27
ITEM-0000216,ORD-000124,PROD-0067,2,1063.26,426.7,53.16,2020.2,1166.8
ITEM-0000217,ORD-000125,PROD-0096,1,34.47,16.8,1.72,32.75,15.95
ITEM-0000218,ORD-000126,PROD-0159,3,270.31,96.88,0.0,810.93,520.29
ITEM-0000219,ORD-000127,PROD-0014,2,639.1,406.85,63.91,1150.38,336.68
ITEM-0000220,ORD-000128,PROD-0015,2,133.28,49.86,0.0,266.56,166.84
ITEM-0000221,ORD-000129,PROD-0006,3,330.42,180.96,0.0,991.26,448.38
ITEM-0000222,ORD-000129,PROD-0167,2,487.98,175.49,0.0,975.96,624.98
ITEM-0000223,ORD-000129,PROD-0172,2,228.9,156.43,0.0,457.8,144.94
ITEM-0000224,ORD-000129,PROD-0130,2,61.86,25.24,0.0,123.72,73.24
ITEM-0000225,ORD-000130,PROD-0007,2,722.42,399.63,0.0,1444.84,645.58
ITEM-0000226,ORD-000131,PROD-0126,3,107.32,41.55,0.0,321.96,197.31
ITEM-0000227,ORD-000131,PROD-0063,3,857.26,393.73,0.0,2571.78,1390.59
ITEM-0000228,ORD-000132,PROD-0095,3,210.91,137.71,0.0,632.73,219.6
ITEM-0000229,ORD-000132,PROD-0012,3,2351.29,854.43,0.0,7053.87,4490.58
ITEM-0000230,ORD-000133,PROD-0024,3,2202.91,887.86,110.15,6278.28,3614.7
ITEM-0000231,ORD-000133,PROD-0085,1,566.01,307.0,28.3,537.71,230.71
ITEM-0000232,ORD-000133,PROD-0168,3,180.31,98.35,9.02,513.87,218.82
ITEM-0000233,ORD-000134,PROD-0056,1,743.82,402.26,0.0,743.82,341.56
ITEM-0000234,ORD-000134,PROD-0071,2,632.43,267.0,0.0,1264.86,730.86
ITEM-0000235,ORD-000135,PROD-0136,3,209.97,107.96,0.0,629.91,306.03
ITEM-0000236,ORD-000136,PROD-0073,1,395.1,161.59,0.0,395.1,233.51
ITEM-0000237,ORD-000137,PROD-0036,3,82.73,41.9,12.41,210.96,85.26
ITEM-0000238,ORD-000137,PROD-0150,3,176.47,91.59,26.47,450.0,175.23
ITEM-0000239,ORD-000137,PROD-0175,3,450.55,174.7,67.58,1148.91,624.81
ITEM-0000240,ORD-000138,PROD-0170,3,406.1,148.77,40.61,1096.47,650.16
ITEM-0000241,ORD-000138,PROD-0143,3,147.1,55.66,14.71,397.17,230.19
ITEM-0000242,ORD-000139,PROD-0017,3,830.39,500.6,166.08,1992.93,491.13
ITEM-0000243,ORD-000139,PROD-0079,3,177.26,73.51,35.45,425.43,204.9
ITEM-0000244,ORD-000139,PROD-0144,3,29.27,18.29,5.85,70.26,15.39
ITEM-0000245,ORD-000139,PROD-0150,3,176.47,91.59,35.29,423.54,148.77
ITEM-0000246,ORD-000139,PROD-0128,3,193.98,85.06,38.8,465.54,210.36
ITEM-0000247,ORD-000140,PROD-0135,2,161.12,63.01,0.0,322.24,196.22
ITEM-0000248,ORD-000140,PROD-0058,1,33.51,15.83,0.0,33.51,17.68
ITEM-0000249,ORD-000140,PROD-0151,3,307.15,140.78,0.0,921.45,499.11
ITEM-0000250,ORD-000141,PROD-0007,1,722.42,399.63,0.0,722.42,322.79
ITEM-0000251,ORD-000141,PROD-0158,3,255.14,174.7,0.0,765.42,241.32
ITEM-0000252,ORD-000142,PROD-0001,2,953.45,349.12,0.0,1906.9,1208.66
ITEM-0000253,ORD-000143,PROD-0149,2,268.33,98.43,0.0,536.66,339.8
ITEM-0000254,ORD-000143,PROD-0008,1,257.48,142.33,0.0,257.48,115.15
ITEM-0000255,ORD-000143,PROD-0119,1,12.67,5.51,0.0,12.67,7.16
ITEM-0000256,ORD-000143,PROD-0030,3,258.42,97.81,0.0,775.26,481.83
ITEM-0000257,ORD-000144,PROD-0116,1,53.57,23.4,5.36,48.21,24.81
ITEM-0000258,ORD-000145,PROD-0009,2,1051.81,420.85,105.18,1893.26,1051.56
ITEM-0000259,ORD-000146,PROD-0033,3,162.42,81.27,0.0,487.26,243.45
ITEM-0000260,ORD-000146,PROD-0154,1,38.97,24.91,0.0,38.97,14.06
ITEM-0000261,ORD-000146,PROD-0007,3,722.42,399.63,0.0,2167.26,968.37
ITEM-0000262,ORD-000147,PROD-0046,1,111.72,52.54,0.0,111.72,59.18
ITEM-0000263,ORD-000147,PROD-0187,1,465.85,205.36,0.0,465.85,260.49
ITEM-0000264,ORD-000147,PROD-0132,1,176.9,94.24,0.0,176.9,82.66
ITEM-0000265,ORD-000148,PROD-0010,3,1052.31,472.02,0.0,3156.93,1740.87
ITEM-0000266,ORD-000148,PROD-0174,3,68.0,30.47,0.0,204.0,112.59
ITEM-0000267,ORD-000149,PROD-0030,3,258.42,97.81,0.0,775.26,481.83
ITEM-0000268,ORD-000149,PROD-0058,1,33.51,15.83,0.0,33.51,17.68
ITEM-0000269,ORD-000150,PROD-0063,2,857.26,393.73,0.0,1714.52,927.06
ITEM-0000270,ORD-000150,PROD-0035,1,108.28,51.27,0.0,108.28,57.01
ITEM-0000271,ORD-000150,PROD-0123,1,92.64,34.73,0.0,92.64,57.91
ITEM-0000272,ORD-000151,PROD-0134,1,141.65,91.72,0.0,141.65,49.93
ITEM-0000273,ORD-000152,PROD-0004,2,918.1,642.56,137.72,1560.76,275.64
ITEM-0000274,ORD-000152,PROD-0156,2,125.96,69.98,18.89,214.14,74.18
ITEM-0000275,ORD-000153,PROD-0030,1,258.42,97.81,12.92,245.5,147.69
ITEM-0000276,ORD-000154,PROD-0023,3,362.29,143.59,18.11,1032.54,601.77
ITEM-0000277,ORD-000155,PROD-0146,2,128.48,85.55,0.0,256.96,85.86
ITEM-0000278,ORD-000155,PROD-0028,1,178.41,95.75,0.0,178.41,82.66
ITEM-0000279,ORD-000156,PROD-0077,3,734.34,321.57,0.0,2203.02,1238.31
ITEM-0000280,ORD-000156,PROD-0131,2,235.16,118.91,0.0,470.32,232.5
ITEM-0000281,ORD-000157,PROD-0142,3,91.44,61.76,0.0,274.32,89.04
ITEM-0000282,ORD-000158,PROD-0049,1,68.26,47.02,0.0,68.26,21.24
ITEM-0000283,ORD-000159,PROD-0119,1,12.67,5.51,0.0,12.67,7.16
ITEM-0000284,ORD-000160,PROD-0126,2,107.32,41.55,0.0,214.64,131.54
ITEM-0000285,ORD-000161,PROD-0053,3,802.15,325.25,0.0,2406.45,1430.7
ITEM-0000286,ORD-000161,PROD-0090,2,483.59,254.08,0.0,967.18,459.02
ITEM-0000287,ORD-000162,PROD-0109,1,83.99,34.52,0.0,83.99,49.47
ITEM-0000288,ORD-000163,PROD-0179,3,569.07,209.01,113.81,1365.78,738.75
ITEM-0000289,ORD-000164,PROD-0128,1,193.98,85.06,0.0,193.98,108.92
ITEM-0000290,ORD-000164,PROD-0019,2,1468.09,545.63,0.0,2936.18,1844.92
ITEM-0000291,ORD-000164,PROD-0160,1,279.78,101.48,0.0,279.78,178.3
ITEM-0000292,ORD-000165,PROD-0076,1,250.97,90.86,0.0,250.97,160.11
ITEM-0000293,ORD-000166,PROD-0155,1,299.92,135.3,0.0,299.92,164.62
ITEM-0000294,ORD-000167,PROD-0167,1,487.98,175.49,24.4,463.58,288.09
ITEM-0000295,ORD-000167,PROD-0087,3,317.87,206.94,15.89,905.94,285.12
ITEM-0000296,ORD-000168,PROD-0087,3,317.87,206.94,0.0,953.61,332.79
ITEM-0000297,ORD-000168,PROD-0105,3,11.07,4.03,0.0,33.21,21.12
ITEM-0000298,ORD-000169,PROD-0141,1,240.5,95.99,0.0,240.5,144.51
ITEM-0000299,ORD-000169,PROD-0047,3,161.1,58.36,0.0,483.3,308.22
ITEM-0000300,ORD-000169,PROD-0021,2,643.54,361.56,0.0,1287.08,563.96
ITEM-0000301,ORD-000170,PROD-0187,3,465.85,205.36,46.59,1257.78,641.7
ITEM-0000302,ORD-000170,PROD-0191,2,353.82,141.69,35.38,636.88,353.5
ITEM-0000303,ORD-000170,PROD-0001,1,953.45,349.12,95.34,858.11,508.99
ITEM-0000304,ORD-000171,PROD-0106,2,51.35,26.03,2.57,97.56,45.5
ITEM-0000305,ORD-000171,PROD-0156,2,125.96,69.98,6.3,239.32,99.36
ITEM-0000306,ORD-000172,PROD-0014,3,639.1,406.85,31.95,1821.45,600.9
ITEM-0000307,ORD-000173,PROD-0138,1,312.0,114.25,0.0,312.0,197.75
